X,Y,KOMKODE,KOMNAVN
9.78122582501613,55.7969270651977,0766,Hedensted
10.0822140441455,55.8257159660822,0766,Hedensted
8.76098938472556,55.4087669985414,0561,Esbjerg
9.7850358201027,57.0749341536477,0849,Jammerbugt
9.66504171289526,57.1849300792681,0849,Jammerbugt
9.14219322062398,57.0359420065659,0849,Jammerbugt
9.48947382624699,57.0297502478422,0849,Jammerbugt
8.30217890213947,56.5289828370338,0665,Lemvig
8.13424009447285,56.3856002992373,0665,Lemvig
9.54197002330687,54.9227388341983,0540,Sønderborg
9.93193866773068,54.9681437284031,0540,Sønderborg
9.83129410166797,54.9713778102294,0540,Sønderborg
12.4756653375648,55.7458149679282,0159,Gladsaxe
15.1894197385104,55.3206160382585,0411,Christiansø
15.1841233645478,55.3211048877255,0411,Christiansø
15.1777592056518,55.3241433991137,0411,Christiansø
11.8976990140662,55.9546747049279,0260,Halsnæs
11.7059669585657,56.1967870075457,0260,Halsnæs
12.3703618454622,55.6333490309095,0187,Vallensbæk
12.402750919724,55.613102225961,0187,Vallensbæk
12.5950045303836,55.6103933693657,0185,Tårnby
12.7588440665134,55.6391874528929,0185,Tårnby
12.7509062218906,55.5997397849194,0185,Tårnby
12.7946553474067,55.6058424362681,0185,Tårnby
12.7388460434886,55.6276431884201,0185,Tårnby
11.8128293874142,55.4592931784299,0329,Ringsted
10.5425590543805,54.904804564038,0482,Langeland
10.5902968600031,54.9224856909138,0482,Langeland
10.5770092663828,54.8991749415917,0482,Langeland
10.6904557813062,54.9558079386495,0482,Langeland
10.777191112505,54.9430984224048,0482,Langeland
10.6096792479827,54.9043490939616,0482,Langeland
10.5905585610627,54.8461205292709,0482,Langeland
8.58074093410427,56.4843029046007,0671,Struer
8.53763268852262,56.6352708149475,0671,Struer
8.62480855420743,56.5483544071616,0671,Struer
12.3744387511447,55.8018877166752,0190,Furesø
9.61097381268909,56.1844229913568,0740,Silkeborg
12.1671534174044,55.534983074436,0269,Solrød
12.4755376356224,55.8855496911066,0223,Hørsholm
12.4445294522628,55.9515982375451,0210,Fredensborg
10.1001990970696,56.1629137619507,0751,Aarhus
9.70456621655367,55.3591175478665,0410,Middelfart
9.93665729615786,55.4480302002251,0410,Middelfart
9.69191633933884,55.4871564992957,0410,Middelfart
8.53677970136328,56.6998471110964,0787,Thisted
8.48395353175777,56.9157713129741,0787,Thisted
8.89974195712216,56.9791359099993,0787,Thisted
12.3433034446192,55.3321509070169,0336,Stevns
12.2657515614858,55.075125789097,0390,Vordingborg
12.0457087286762,54.9531655211542,0390,Vordingborg
12.1044381171653,55.1295222632831,0390,Vordingborg
11.7533582624013,55.0901498081054,0390,Vordingborg
12.2061894947774,55.0473293929823,0390,Vordingborg
12.23528651322,55.0306966027087,0390,Vordingborg
12.2235322631423,55.0062397989084,0390,Vordingborg
12.0640049214836,55.1339337523839,0390,Vordingborg
12.052116629625,55.132333717661,0390,Vordingborg
11.9743714680449,55.0585895536681,0390,Vordingborg
12.4242451458518,54.9692956809575,0390,Vordingborg
11.887012036376,54.9881939245895,0390,Vordingborg
12.0839021309441,54.9544988563079,0390,Vordingborg
12.1158177407311,54.9785743202985,0390,Vordingborg
11.2639519992936,55.6067952087926,0326,Kalundborg
11.0772686019301,55.4789420007879,0326,Kalundborg
11.1458018090537,55.8873861551833,0326,Kalundborg
11.2905821218266,55.7804699976989,0326,Kalundborg
9.50940152279528,54.8573708163884,0580,Aabenraa
9.35370984883093,54.9906425444433,0580,Aabenraa
9.55882880285503,55.1204366144693,0580,Aabenraa
8.50866139317914,55.6658586881292,0573,Varde
8.31327710771823,55.5122867534775,0573,Varde
12.0811723734581,55.6466655275698,0265,Roskilde
12.0947360766823,55.7546693915635,0265,Roskilde
12.2304413734595,55.9247532558387,0219,Hillerød
12.4289687089431,55.6129034531559,0153,Brøndby
12.4445241840675,55.6087725410573,0153,Brøndby
12.4049709997338,55.6435785341819,0153,Brøndby
9.09370079837623,56.8829409428353,0820,Vesthimmerlands
9.40544697180691,56.8246871376111,0820,Vesthimmerlands
9.23921929988628,57.0104399285919,0820,Vesthimmerlands
9.25357750170368,56.9871849104687,0820,Vesthimmerlands
9.22859986910454,56.9923708696974,0820,Vesthimmerlands
9.23631800787316,56.9924516710585,0820,Vesthimmerlands
12.1335892572585,55.8348302353429,0250,Frederikssund
12.0777015204357,55.733801985082,0250,Frederikssund
12.074774459541,55.7275019199668,0250,Frederikssund
11.9924691695485,55.82877814204,0250,Frederikssund
12.011063667469,55.8757265029587,0250,Frederikssund
11.8938417898764,55.915769366753,0250,Frederikssund
9.59730246736726,56.9824299591794,0851,Aalborg
9.82900189143212,57.082076150496,0851,Aalborg
10.0535567576859,56.944996671039,0851,Aalborg
10.0195164280699,57.1083839003807,0851,Aalborg
9.84531938658738,57.0644262948428,0851,Aalborg
9.56150067541409,57.0078981801252,0851,Aalborg
9.50955140390843,57.0172853030822,0851,Aalborg
10.3415824397968,56.9923304901133,0851,Aalborg
9.38335200139184,56.4522200504204,0791,Viborg
14.9228402389882,55.1430669674138,0400,Bornholm
12.2443255715805,55.6554427396433,0169,Høje Taastrup
10.3132008320448,55.7671948905263,0615,Horsens
9.77004344752949,55.9381761419104,0615,Horsens
10.0027131641095,55.8674147723478,0615,Horsens
